Kode,Nama Perusahaan,Tipe,Currency
AKPI,Argha Karya Prima Industry Tbk,Basic Materials,IDR
ALDO,Alkindo Naratama Tbk.,Basic Materials,IDR
ALKA,Alakasa Industrindo Tbk,Basic Materials,IDR
ANTM,Aneka Tambang Tbk.,Basic Materials,IDR
APLI,Asiaplast Industries Tbk.,Basic Materials,IDR
BAJA,Saranacentral Bajatama Tbk.,Basic Materials,IDR
BMSR,Bintang Mitra Semestaraya Tbk,Basic Materials,IDR
AGII,Aneka Gas Industri Tbk.,Basic Materials,IDR
BRNA,Berlina Tbk.,Basic Materials,IDR
CITA,Cita Mineral Investindo Tbk.,Basic Materials,IDR
CLPI,Colorpak Indonesia Tbk.,Basic Materials,IDR
DKFT,Central Omega Resources Tbk.,Basic Materials,IDR
DPNS,Duta Pertiwi Nusantara Tbk.,Basic Materials,IDR
EKAD,Ekadharma International Tbk.,Basic Materials,IDR
FASW,Fajar Surya Wisesa Tbk.,Basic Materials,IDR
GDST,Gunawan Dianjaya Steel Tbk.,Basic Materials,IDR
IGAR,Champion Pacific Indonesia Tbk,Basic Materials,IDR
INTD,Inter Delta Tbk,Basic Materials,IDR
INTP,Indocement Tunggal Prakarsa Tb,Basic Materials,IDR
ISSP,Steel Pipe Industry of Indones,Basic Materials,IDR
JKSW,Jakarta Kyoei Steel Works Tbk.,Basic Materials,IDR
KDSI,Kedawung Setia Industrial Tbk.,Basic Materials,IDR
LMSH,Lionmesh Prima Tbk.,Basic Materials,IDR
LTLS,Lautan Luas Tbk.,Basic Materials,IDR
PICO,Pelangi Indah Canindo Tbk,Basic Materials,IDR
SIMA,Siwani Makmur Tbk,Basic Materials,IDR
SMBR,Semen Baturaja (Persero) Tbk.,Basic Materials,IDR
SMCB,Solusi Bangun Indonesia Tbk.,Basic Materials,IDR
SMGR,Semen Indonesia (Persero) Tbk.,Basic Materials,IDR
SPMA,Suparma Tbk.,Basic Materials,IDR
SQMI,Wilton Makmur Indonesia Tbk.,Basic Materials,IDR
SRSN,Indo Acidatama Tbk,Basic Materials,IDR
TALF,Tunas Alfin Tbk.,Basic Materials,IDR
TRST,Trias Sentosa Tbk.,Basic Materials,IDR
INCF,Indo Komoditi Korpora Tbk.,Basic Materials,IDR
WSBP,Waskita Beton Precast Tbk.,Basic Materials,IDR
KMTR,Kirana Megatara Tbk.,Basic Materials,IDR
MDKI,Emdeki Utama Tbk.,Basic Materials,IDR
ZINC,Kapuas Prima Coal Tbk.,Basic Materials,IDR
PBID,Panca Budi Idaman Tbk.,Basic Materials,IDR
SWAT,Sriwahana Adityakarta Tbk.,Basic Materials,IDR
MOLI,Madusari Murni Indah Tbk.,Basic Materials,IDR
HKMU,HK Metals Utama Tbk.,Basic Materials,IDR
KAYU,Darmi Bersaudara Tbk.,Basic Materials,IDR
SMKL,Satyamitra Kemas Lestari Tbk.,Basic Materials,IDR
OPMS,Optima Prima Metal Sinergi Tbk,Basic Materials,IDR
PURE,Trinitan Metals and Minerals T,Basic Materials,IDR
ESIP,Sinergi Inti Plastindo Tbk.,Basic Materials,IDR
IFSH,Ifishdeco Tbk.,Basic Materials,IDR
IFII,Indonesia Fibreboard Industry ,Basic Materials,IDR
AYLS,Agro Yasa Lestari Tbk.,Basic Materials,IDR
SAMF,Saraswanti Anugerah Makmur Tbk,Basic Materials,IDR
EPAC,Megalestari Epack Sentosaraya ,Basic Materials,IDR
PNGO,Pinago Utama Tbk.,Basic Materials,IDR
BEBS,Berkah Beton Sadaya Tbk.,Basic Materials,IDR
NPGF,Nusa Palapa Gemilang Tbk.,Basic Materials,IDR
NICL,PAM Mineral Tbk.,Basic Materials,IDR
TINS,Timah Tbk.,Basic Materials,IDR
TIRT,Tirta Mahakam Resources Tbk,Basic Materials,IDR
BTON,Betonjaya Manunggal Tbk.,Basic Materials,IDR
SBMA,Surya Biru Murni Acetylene Tbk,Basic Materials,IDR
CMNT,Cemindo Gemilang Tbk.,Basic Materials,IDR
WTON,Wijaya Karya Beton Tbk.,Basic Materials,IDR
YPAS,Yanaprima Hastapersada Tbk,Basic Materials,IDR
INAI,Indal Aluminium Industry Tbk.,Basic Materials,IDR
INCI,Intanwijaya Internasional Tbk,Basic Materials,IDR
AVIA,Avia Avian Tbk.,Basic Materials,IDR
KBRI,Kertas Basuki Rachmat Indonesi,Basic Materials,IDR
CHEM,Chemstar Indonesia Tbk.,Basic Materials,IDR
KKES,Kusuma Kemindo Sentosa Tbk.,Basic Materials,IDR
AKKU,Anugerah Kagum Karya Utama Tbk,Consumer Cyclicals,IDR
ARGO,Argo Pantes Tbk,Consumer Cyclicals,IDR
ARTA,Arthavest Tbk,Consumer Cyclicals,IDR
BATA,Sepatu Bata Tbk.,Consumer Cyclicals,IDR
BAYU,Bayu Buana Tbk,Consumer Cyclicals,IDR
BIMA,Primarindo Asia Infrastructure,Consumer Cyclicals,IDR
BLTZ,Graha Layar Prima Tbk.,Consumer Cyclicals,IDR
BOLT,Garuda Metalindo Tbk.,Consumer Cyclicals,IDR
ABBA,Mahaka Media Tbk.,Consumer Cyclicals,IDR
ACES,Ace Hardware Indonesia Tbk.,Consumer Cyclicals,IDR
BUVA,Bukit Uluwatu Villa Tbk.,Consumer Cyclicals,IDR
CINT,Chitose Internasional Tbk.,Consumer Cyclicals,IDR
CSAP,Catur Sentosa Adiprana Tbk.,Consumer Cyclicals,IDR
ECII,Electronic City Indonesia Tbk.,Consumer Cyclicals,IDR
ERAA,Erajaya Swasembada Tbk.,Consumer Cyclicals,IDR
FAST,Fast Food Indonesia Tbk.,Consumer Cyclicals,IDR
FORU,Fortune Indonesia Tbk,Consumer Cyclicals,IDR
GEMA,Gema Grahasarana Tbk.,Consumer Cyclicals,IDR
GJTL,Gajah Tunggal Tbk.,Consumer Cyclicals,IDR
GLOB,Globe Kita Terang Tbk.,Consumer Cyclicals,IDR
HOME,Hotel Mandarine Regency Tbk.,Consumer Cyclicals,IDR
HOTL,Saraswati Griya Lestari Tbk.,Consumer Cyclicals,IDR
IIKP,Inti Agri Resources Tbk,Consumer Cyclicals,IDR
IKAI,Intikeramik Alamasri Industri ,Consumer Cyclicals,IDR
IMAS,Indomobil Sukses Internasional,Consumer Cyclicals,IDR
INDS,Indospring Tbk.,Consumer Cyclicals,IDR
JIHD,Jakarta International Hotels &,Consumer Cyclicals,IDR
KICI,Kedaung Indah Can Tbk,Consumer Cyclicals,IDR
KPIG,MNC Land Tbk.,Consumer Cyclicals,IDR
LMPI,Langgeng Makmur Industri Tbk.,Consumer Cyclicals,IDR
LPIN,Multi Prima Sejahtera Tbk,Consumer Cyclicals,IDR
LPPF,Matahari Department Store Tbk.,Consumer Cyclicals,IDR
MAMI,Mas Murni Indonesia Tbk,Consumer Cyclicals,IDR
MAPI,Mitra Adiperkasa Tbk.,Consumer Cyclicals,IDR
MDIA,Intermedia Capital Tbk.,Consumer Cyclicals,IDR
MICE,Multi Indocitra Tbk.,Consumer Cyclicals,IDR
MNCN,Media Nusantara Citra Tbk.,Consumer Cyclicals,IDR
MPMX,Mitra Pinasthika Mustika Tbk.,Consumer Cyclicals,IDR
MSKY,MNC Sky Vision Tbk.,Consumer Cyclicals,IDR
MYTX,Asia Pacific Investama Tbk.,Consumer Cyclicals,IDR
PANR,Panorama Sentrawisata Tbk.,Consumer Cyclicals,IDR
